Name,Ticker,Date,Actual,Estimate
Unum Group,UNM,2019-04-30,1.31,1.313
Union Pacific Corp,UNP,2019-04-18,1.93,1.877
United Parcel Service Inc,UPS,2019-04-25,1.39,1.415
United Rentals Inc,URI,2019-04-17,3.31,3.027
US Bancorp,USB,2019-04-17,1,1.001
United Technologies Corp,UTX,2019-04-23,1.91,1.711
Visa Inc,V,2019-04-24,1.31,1.241
Varian Medical Systems Inc,VAR,2019-04-24,1.05,1.148
VF Corp,VFC,2019-05-22,0.6,0.576
Viacom Inc,VIAB,2019-05-10,0.95,0.804
Valero Energy Corp,VLO,2019-04-25,0.34,0.232
Vulcan Materials Co,VMC,2019-05-02,0.46,0.363
Vornado Realty Trust,VNO,2019-04-29,1.3,1.34
Verisk Analytics Inc,VRSK,2019-04-30,1.03,1.034
VeriSign Inc,VRSN,2019-04-25,1.31,1.25
Vertex Pharmaceuticals Inc,VRTX,2019-04-30,1.14,1.005
Ventas Inc,VTR,2019-04-26,0.99,0.956
Verizon Communications Inc,VZ,2019-04-23,1.2,1.167
Wabtec Corp,WAB,2019-04-25,1.06,0.843
Waters Corp,WAT,2019-04-23,1.6,1.724
Walgreens Boots Alliance Inc,WBA,2019-04-02,1.64,1.719
WellCare Health Plans Inc,WCG,2019-04-30,3.69,3.062
Western Digital Corp,WDC,2019-04-29,0.17,0.445
WEC Energy Group Inc,WEC,2019-04-25,1.33,1.255
Welltower Inc,WELL,2019-04-30,1.02,1.019
Wells Fargo & Co,WFC,2019-04-12,1.01,1.092
Whirlpool Corp,WHR,2019-04-22,3.11,2.864
Willis Towers Watson PLC,WLTW,2019-05-01,2.98,3.024
Waste Management Inc,WM,2019-04-25,0.94,0.918
Williams Cos Inc/The,WMB,2019-05-01,0.22,0.227
Walmart Inc,WMT,2019-02-19,1.41,1.336
Westrock Co,WRK,2019-04-30,0.8,0.606
Western Union Co/The,WU,2019-05-07,0.39,0.428
Weyerhaeuser Co,WY,2019-04-26,0.11,0.092
Wynn Resorts Ltd,WYNN,2019-05-09,1.61,1.583
Cimarex Energy Co,XEC,2019-05-08,1.2,1.352
Xcel Energy Inc,XEL,2019-04-25,0.61,0.615
Xilinx Inc,XLNX,2019-04-24,0.95,0.935
Exxon Mobil Corp,XOM,2019-04-26,0.55,0.716
DENTSPLY SIRONA Inc,XRAY,2019-03-01,0.58,0.537
Xerox Holdings Corp,XRX,2019-04-25,0.91,0.8
Xylem Inc/NY,XYL,2019-05-02,0.52,0.564
Yum! Brands Inc,YUM,2019-05-01,0.82,0.813
Zimmer Biomet Holdings Inc,ZBH,2019-04-26,1.87,1.863
Zions Bancorp NA,ZION,2019-04-22,1.04,1.048
Zoetis Inc,ZTS,2019-05-02,0.88,0.788
